y,Output,USO0,DJIA0,UNG0,USO1,DJIA1,UNG1,USO2,DJIA2,UNG2,USO3,DJIA3,UNG3,USO4,DJIA4,UNG4
381,-0.32,-0.06,-0.2,-0.01,0.47,0.09,-0.04,0.18,-0.09,0.02,-0.22,0.28,0.03,0.12,-1.14,-0.12
382,0.88,-0.32,0.09,-0.05,-0.06,-0.2,-0.01,0.47,0.09,-0.04,0.18,-0.09,0.02,-0.22,0.28,0.03
383,0,0.88,0.56,-0.24,-0.32,0.09,-0.05,-0.06,-0.2,-0.01,0.47,0.09,-0.04,0.18,-0.09,0.02
384,0.35,0,0.29,0.06,0.88,0.56,-0.24,-0.32,0.09,-0.05,-0.06,-0.2,-0.01,0.47,0.09,-0.04
385,-0.03,0.35,0.33,0.04,0,0.29,0.06,0.88,0.56,-0.24,-0.32,0.09,-0.05,-0.06,-0.2,-0.01
386,-0.75,-0.03,-0.18,0.32,0.35,0.33,0.04,0,0.29,0.06,0.88,0.56,-0.24,-0.32,0.09,-0.05
387,-1.01,-0.75,-0.16,-0.1,-0.03,-0.18,0.32,0.35,0.33,0.04,0,0.29,0.06,0.88,0.56,-0.24
388,0.08,-1.01,-0.81,-0.18,-0.75,-0.16,-0.1,-0.03,-0.18,0.32,0.35,0.33,0.04,0,0.29,0.06
389,0.02,0.08,0.84,-0.27,-1.01,-0.81,-0.18,-0.75,-0.16,-0.1,-0.03,-0.18,0.32,0.35,0.33,0.04
390,-0.57,0.02,-0.02,0.32,0.08,0.84,-0.27,-1.01,-0.81,-0.18,-0.75,-0.16,-0.1,-0.03,-0.18,0.32
391,0.53,-0.57,-0.79,-0.16,0.02,-0.02,0.32,0.08,0.84,-0.27,-1.01,-0.81,-0.18,-0.75,-0.16,-0.1
392,0.3,0.53,1.19,0.3,-0.57,-0.79,-0.16,0.02,-0.02,0.32,0.08,0.84,-0.27,-1.01,-0.81,-0.18
393,0.37,0.3,0.33,-0.09,0.53,1.19,0.3,-0.57,-0.79,-0.16,0.02,-0.02,0.32,0.08,0.84,-0.27
394,-0.39,0.37,-0.08,0.28,0.3,0.33,-0.09,0.53,1.19,0.3,-0.57,-0.79,-0.16,0.02,-0.02,0.32
395,-0.39,-0.39,0.92,0.02,0.37,-0.08,0.28,0.3,0.33,-0.09,0.53,1.19,0.3,-0.57,-0.79,-0.16
396,-0.05,-0.39,0.18,-0.21,-0.39,0.92,0.02,0.37,-0.08,0.28,0.3,0.33,-0.09,0.53,1.19,0.3
397,0.2,-0.05,1.09,-0.09,-0.39,0.18,-0.21,-0.39,0.92,0.02,0.37,-0.08,0.28,0.3,0.33,-0.09
398,0.26,0.2,-0.42,-0.13,-0.05,1.09,-0.09,-0.39,0.18,-0.21,-0.39,0.92,0.02,0.37,-0.08,0.28
399,-1.23,0.26,0.45,-0.17,0.2,-0.42,-0.13,-0.05,1.09,-0.09,-0.39,0.18,-0.21,-0.39,0.92,0.02
400,-0.17,-1.23,0.03,0.02,0.26,0.45,-0.17,0.2,-0.42,-0.13,-0.05,1.09,-0.09,-0.39,0.18,-0.21
401,-0.23,-0.17,0.25,-0.11,-1.23,0.03,0.02,0.26,0.45,-0.17,0.2,-0.42,-0.13,-0.05,1.09,-0.09
402,-0.03,-0.23,-0.5,-0.19,-0.17,0.25,-0.11,-1.23,0.03,0.02,0.26,0.45,-0.17,0.2,-0.42,-0.13
403,-0.17,-0.03,-0.03,0,-0.23,-0.5,-0.19,-0.17,0.25,-0.11,-1.23,0.03,0.02,0.26,0.45,-0.17
404,-0.32,-0.17,-0.55,0.1,-0.03,-0.03,0,-0.23,-0.5,-0.19,-0.17,0.25,-0.11,-1.23,0.03,0.02
405,0.27,-0.32,0.49,-0.15,-0.17,-0.55,0.1,-0.03,-0.03,0,-0.23,-0.5,-0.19,-0.17,0.25,-0.11
406,0.45,0.27,0.57,0.17,-0.32,0.49,-0.15,-0.17,-0.55,0.1,-0.03,-0.03,0,-0.23,-0.5,-0.19
407,0.01,0.45,-0.31,-0.02,0.27,0.57,0.17,-0.32,0.49,-0.15,-0.17,-0.55,0.1,-0.03,-0.03,0
408,0.02,0.01,-0.48,-0.08,0.45,-0.31,-0.02,0.27,0.57,0.17,-0.32,0.49,-0.15,-0.17,-0.55,0.1
409,-0.54,0.02,1,-0.2,0.01,-0.48,-0.08,0.45,-0.31,-0.02,0.27,0.57,0.17,-0.32,0.49,-0.15
410,0.57,-0.54,-1.41,-0.01,0.02,1,-0.2,0.01,-0.48,-0.08,0.45,-0.31,-0.02,0.27,0.57,0.17
411,0.02,0.57,0.19,-0.11,-0.54,-1.41,-0.01,0.02,1,-0.2,0.01,-0.48,-0.08,0.45,-0.31,-0.02
412,0.01,0.02,0.93,-0.07,0.57,0.19,-0.11,-0.54,-1.41,-0.01,0.02,1,-0.2,0.01,-0.48,-0.08
413,0.44,0.01,0.39,-0.05,0.02,0.93,-0.07,0.57,0.19,-0.11,-0.54,-1.41,-0.01,0.02,1,-0.2
414,0.26,0.44,0.01,0.15,0.01,0.39,-0.05,0.02,0.93,-0.07,0.57,0.19,-0.11,-0.54,-1.41,-0.01
415,-0.19,0.26,1.57,0.04,0.44,0.01,0.15,0.01,0.39,-0.05,0.02,0.93,-0.07,0.57,0.19,-0.11
416,0.09,-0.19,-1.29,0.12,0.26,1.57,0.04,0.44,0.01,0.15,0.01,0.39,-0.05,0.02,0.93,-0.07
417,-0.77,0.09,-0.88,0.03,-0.19,-1.29,0.12,0.26,1.57,0.04,0.44,0.01,0.15,0.01,0.39,-0.05
418,-0.74,-0.77,-0.78,-0.07,0.09,-0.88,0.03,-0.19,-1.29,0.12,0.26,1.57,0.04,0.44,0.01,0.15
419,0.54,-0.74,-0.76,-0.13,-0.77,-0.78,-0.07,0.09,-0.88,0.03,-0.19,-1.29,0.12,0.26,1.57,0.04
420,-0.08,0.54,-1.4,0.07,-0.74,-0.76,-0.13,-0.77,-0.78,-0.07,0.09,-0.88,0.03,-0.19,-1.29,0.12
421,0.72,-0.08,-0.67,-0.01,0.54,-1.4,0.07,-0.74,-0.76,-0.13,-0.77,-0.78,-0.07,0.09,-0.88,0.03
422,-0.74,0.72,1.31,-0.08,-0.08,-0.67,-0.01,0.54,-1.4,0.07,-0.74,-0.76,-0.13,-0.77,-0.78,-0.07
423,-0.26,-0.74,-1.56,0,0.72,1.31,-0.08,-0.08,-0.67,-0.01,0.54,-1.4,0.07,-0.74,-0.76,-0.13
424,0.11,-0.26,1.01,-0.05,-0.74,-1.56,0,0.72,1.31,-0.08,-0.08,-0.67,-0.01,0.54,-1.4,0.07
425,-0.46,0.11,0.43,0.08,-0.26,1.01,-0.05,-0.74,-1.56,0,0.72,1.31,-0.08,-0.08,-0.67,-0.01
426,0.15,-0.46,-0.82,-0.07,0.11,0.43,0.08,-0.26,1.01,-0.05,-0.74,-1.56,0,0.72,1.31,-0.08
427,-0.05,0.15,-1.16,-0.03,-0.46,-0.82,-0.07,0.11,0.43,0.08,-0.26,1.01,-0.05,-0.74,-1.56,0
428,-0.28,-0.05,0.12,0.18,0.15,-1.16,-0.03,-0.46,-0.82,-0.07,0.11,0.43,0.08,-0.26,1.01,-0.05
429,0.37,-0.28,1.78,-0.01,-0.05,0.12,0.18,0.15,-1.16,-0.03,-0.46,-0.82,-0.07,0.11,0.43,0.08
430,-0.46,0.37,0.24,0.09,-0.28,1.78,-0.01,-0.05,0.12,0.18,0.15,-1.16,-0.03,-0.46,-0.82,-0.07
431,0.08,-0.46,0.32,-0.08,0.37,0.24,0.09,-0.28,1.78,-0.01,-0.05,0.12,0.18,0.15,-1.16,-0.03
432,0.04,0.08,-0.14,-0.03,-0.46,0.32,-0.08,0.37,0.24,0.09,-0.28,1.78,-0.01,-0.05,0.12,0.18
433,0.1,0.04,-1.42,0.24,0.08,-0.14,-0.03,-0.46,0.32,-0.08,0.37,0.24,0.09,-0.28,1.78,-0.01
434,0.18,0.1,-0.24,-0.04,0.04,-1.42,0.24,0.08,-0.14,-0.03,-0.46,0.32,-0.08,0.37,0.24,0.09
435,-0.56,0.18,-0.95,0.13,0.1,-0.24,-0.04,0.04,-1.42,0.24,0.08,-0.14,-0.03,-0.46,0.32,-0.08
436,-0.84,-0.56,-0.23,-0.14,0.18,-0.95,0.13,0.1,-0.24,-0.04,0.04,-1.42,0.24,0.08,-0.14,-0.03
437,-0.01,-0.84,-1.23,0.13,-0.56,-0.23,-0.14,0.18,-0.95,0.13,0.1,-0.24,-0.04,0.04,-1.42,0.24
438,0.31,-0.01,-0.77,-0.2,-0.84,-1.23,0.13,-0.56,-0.23,-0.14,0.18,-0.95,0.13,0.1,-0.24,-0.04
439,-0.09,0.31,0.49,-0.1,-0.01,-0.77,-0.2,-0.84,-1.23,0.13,-0.56,-0.23,-0.14,0.18,-0.95,0.13
440,0.35,-0.09,-0.62,-0.11,0.31,0.49,-0.1,-0.01,-0.77,-0.2,-0.84,-1.23,0.13,-0.56,-0.23,-0.14
441,0.11,0.35,1.29,-0.04,-0.09,-0.62,-0.11,0.31,0.49,-0.1,-0.01,-0.77,-0.2,-0.84,-1.23,0.13
442,0.15,0.11,-0.07,-0.06,0.35,1.29,-0.04,-0.09,-0.62,-0.11,0.31,0.49,-0.1,-0.01,-0.77,-0.2
443,0.17,0.15,-1.64,-0.07,0.11,-0.07,-0.06,0.35,1.29,-0.04,-0.09,-0.62,-0.11,0.31,0.49,-0.1
444,0.36,0.17,0.58,0.18,0.15,-1.64,-0.07,0.11,-0.07,-0.06,0.35,1.29,-0.04,-0.09,-0.62,-0.11
445,0.16,0.36,0.93,0.05,0.17,0.58,0.18,0.15,-1.64,-0.07,0.11,-0.07,-0.06,0.35,1.29,-0.04
446,0.19,0.16,0.2,-0.06,0.36,0.93,0.05,0.17,0.58,0.18,0.15,-1.64,-0.07,0.11,-0.07,-0.06
447,-0.39,0.19,0.96,0.03,0.16,0.2,-0.06,0.36,0.93,0.05,0.17,0.58,0.18,0.15,-1.64,-0.07
448,0.57,-0.39,0.33,0.04,0.19,0.96,0.03,0.16,0.2,-0.06,0.36,0.93,0.05,0.17,0.58,0.18
449,0.28,0.57,-0.52,0.01,-0.39,0.33,0.04,0.19,0.96,0.03,0.16,0.2,-0.06,0.36,0.93,0.05
450,0.37,0.28,-1.41,0.12,0.57,-0.52,0.01,-0.39,0.33,0.04,0.19,0.96,0.03,0.16,0.2,-0.06
451,0.2,0.37,0.46,0.07,0.28,-1.41,0.12,0.57,-0.52,0.01,-0.39,0.33,0.04,0.19,0.96,0.03
452,-0.78,0.2,0.86,0.04,0.37,0.46,0.07,0.28,-1.41,0.12,0.57,-0.52,0.01,-0.39,0.33,0.04
453,-0.24,-0.78,0.03,-0.11,0.2,0.86,0.04,0.37,0.46,0.07,0.28,-1.41,0.12,0.57,-0.52,0.01
454,1.34,-0.24,-1.43,-0.02,-0.78,0.03,-0.11,0.2,0.86,0.04,0.37,0.46,0.07,0.28,-1.41,0.12
455,-0.07,1.34,0.71,-0.12,-0.24,-1.43,-0.02,-0.78,0.03,-0.11,0.2,0.86,0.04,0.37,0.46,0.07
456,0.09,-0.07,1.4,0.19,1.34,0.71,-0.12,-0.24,-1.43,-0.02,-0.78,0.03,-0.11,0.2,0.86,0.04
457,-0.84,0.09,0.26,0.06,-0.07,1.4,0.19,1.34,0.71,-0.12,-0.24,-1.43,-0.02,-0.78,0.03,-0.11
458,0.52,-0.84,-0.52,0,0.09,0.26,0.06,-0.07,1.4,0.19,1.34,0.71,-0.12,-0.24,-1.43,-0.02
459,-0.12,0.52,1.97,-0.11,-0.84,-0.52,0,0.09,0.26,0.06,-0.07,1.4,0.19,1.34,0.71,-0.12
460,0.21,-0.12,-1.94,0.05,0.52,1.97,-0.11,-0.84,-0.52,0,0.09,0.26,0.06,-0.07,1.4,0.19
461,0.07,0.21,0.52,0.16,-0.12,-1.94,0.05,0.52,1.97,-0.11,-0.84,-0.52,0,0.09,0.26,0.06
462,-0.3,0.07,0.13,0.05,0.21,0.52,0.16,-0.12,-1.94,0.05,0.52,1.97,-0.11,-0.84,-0.52,0
463,0.16,-0.3,0.22,-0.31,0.07,0.13,0.05,0.21,0.52,0.16,-0.12,-1.94,0.05,0.52,1.97,-0.11
464,0.51,0.16,0.39,0.08,-0.3,0.22,-0.31,0.07,0.13,0.05,0.21,0.52,0.16,-0.12,-1.94,0.05
465,-0.18,0.51,1.61,0.1,0.16,0.39,0.08,-0.3,0.22,-0.31,0.07,0.13,0.05,0.21,0.52,0.16
466,1.24,-0.18,-0.85,-0.08,0.51,1.61,0.1,0.16,0.39,0.08,-0.3,0.22,-0.31,0.07,0.13,0.05
467,0.78,1.24,1.79,0.07,-0.18,-0.85,-0.08,0.51,1.61,0.1,0.16,0.39,0.08,-0.3,0.22,-0.31
468,0.51,0.78,1.43,-0.15,1.24,1.79,0.07,-0.18,-0.85,-0.08,0.51,1.61,0.1,0.16,0.39,0.08
469,-0.27,0.51,2.64,0.04,0.78,1.43,-0.15,1.24,1.79,0.07,-0.18,-0.85,-0.08,0.51,1.61,0.1
470,-0.6,-0.27,-1.85,-0.05,0.51,2.64,0.04,0.78,1.43,-0.15,1.24,1.79,0.07,-0.18,-0.85,-0.08
471,-0.17,-0.6,-0.88,-0.13,-0.27,-1.85,-0.05,0.51,2.64,0.04,0.78,1.43,-0.15,1.24,1.79,0.07
472,-1.13,-0.17,-0.49,-0.01,-0.6,-0.88,-0.13,-0.27,-1.85,-0.05,0.51,2.64,0.04,0.78,1.43,-0.15
473,0.25,-1.13,-2.27,-0.17,-0.17,-0.49,-0.01,-0.6,-0.88,-0.13,-0.27,-1.85,-0.05,0.51,2.64,0.04
474,0.76,0.25,-0.7,-0.06,-1.13,-2.27,-0.17,-0.17,-0.49,-0.01,-0.6,-0.88,-0.13,-0.27,-1.85,-0.05
475,0.4,0.76,1.83,0.07,0.25,-0.7,-0.06,-1.13,-2.27,-0.17,-0.17,-0.49,-0.01,-0.6,-0.88,-0.13
476,-0.27,0.4,1.01,-0.06,0.76,1.83,0.07,0.25,-0.7,-0.06,-1.13,-2.27,-0.17,-0.17,-0.49,-0.01
477,-0.57,-0.27,-0.88,-0.03,0.4,1.01,-0.06,0.76,1.83,0.07,0.25,-0.7,-0.06,-1.13,-2.27,-0.17
478,0.1,-0.57,-2.98,-0.1,-0.27,-0.88,-0.03,0.4,1.01,-0.06,0.76,1.83,0.07,0.25,-0.7,-0.06
479,0.03,0.1,-0.38,-0.05,-0.57,-2.98,-0.1,-0.27,-0.88,-0.03,0.4,1.01,-0.06,0.76,1.83,0.07
480,-0.51,0.03,0.62,0.07,0.1,-0.38,-0.05,-0.57,-2.98,-0.1,-0.27,-0.88,-0.03,0.4,1.01,-0.06
481,-0.13,-0.51,0.25,0,0.03,0.62,0.07,0.1,-0.38,-0.05,-0.57,-2.98,-0.1,-0.27,-0.88,-0.03
482,-0.4,-0.13,0.83,-0.3,-0.51,0.25,0,0.03,0.62,0.07,0.1,-0.38,-0.05,-0.57,-2.98,-0.1
483,0.23,-0.4,0.91,0.16,-0.13,0.83,-0.3,-0.51,0.25,0,0.03,0.62,0.07,0.1,-0.38,-0.05
484,0.73,0.23,0.24,0.1,-0.4,0.91,0.16,-0.13,0.83,-0.3,-0.51,0.25,0,0.03,0.62,0.07
485,0.16,0.73,2.14,0.12,0.23,0.24,0.1,-0.4,0.91,0.16,-0.13,0.83,-0.3,-0.51,0.25,0
486,-0.19,0.16,-1.82,0.03,0.73,2.14,0.12,0.23,0.24,0.1,-0.4,0.91,0.16,-0.13,0.83,-0.3
487,0.67,-0.19,-0.51,0.11,0.16,-1.82,0.03,0.73,2.14,0.12,0.23,0.24,0.1,-0.4,0.91,0.16
488,0.97,0.67,1.2,0.07,-0.19,-0.51,0.11,0.16,-1.82,0.03,0.73,2.14,0.12,0.23,0.24,0.1
489,0.27,0.97,1.81,0.05,0.67,1.2,0.07,-0.19,-0.51,0.11,0.16,-1.82,0.03,0.73,2.14,0.12
490,-0.01,0.27,-0.46,-0.35,0.97,1.81,0.05,0.67,1.2,0.07,-0.19,-0.51,0.11,0.16,-1.82,0.03
491,0.18,-0.01,-1.22,-0.05,0.27,-0.46,-0.35,0.97,1.81,0.05,0.67,1.2,0.07,-0.19,-0.51,0.11
492,0.46,0.18,-0.21,0.17,-0.01,-1.22,-0.05,0.27,-0.46,-0.35,0.97,1.81,0.05,0.67,1.2,0.07
493,-0.01,0.46,0.52,0.15,0.18,-0.21,0.17,-0.01,-1.22,-0.05,0.27,-0.46,-0.35,0.97,1.81,0.05
494,0.37,-0.01,1.17,0,0.46,0.52,0.15,0.18,-0.21,0.17,-0.01,-1.22,-0.05,0.27,-0.46,-0.35
495,-0.49,0.37,1.98,0.09,-0.01,1.17,0,0.46,0.52,0.15,0.18,-0.21,0.17,-0.01,-1.22,-0.05
496,-0.17,-0.49,-2.13,0.03,0.37,1.98,0.09,-0.01,1.17,0,0.46,0.52,0.15,0.18,-0.21,0.17
497,0.53,-0.17,1.7,-0.14,-0.49,-2.13,0.03,0.37,1.98,0.09,-0.01,1.17,0,0.46,0.52,0.15
498,0,0.53,2.52,0.21,-0.17,1.7,-0.14,-0.49,-2.13,0.03,0.37,1.98,0.09,-0.01,1.17,0
499,0.65,0,-1.88,-0.07,0.53,2.52,0.21,-0.17,1.7,-0.14,-0.49,-2.13,0.03,0.37,1.98,0.09
500,-1.3,0.65,-0.38,-0.04,0,-1.88,-0.07,0.53,2.52,0.21,-0.17,1.7,-0.14,-0.49,-2.13,0.03
501,-0.4,-1.3,-1.53,-0.01,0.65,-0.38,-0.04,0,-1.88,-0.07,0.53,2.52,0.21,-0.17,1.7,-0.14
502,0.11,-0.4,-0.44,-0.01,-1.3,-1.53,-0.01,0.65,-0.38,-0.04,0,-1.88,-0.07,0.53,2.52,0.21
503,0.56,0.11,0.14,-0.06,-0.4,-0.44,-0.01,-1.3,-1.53,-0.01,0.65,-0.38,-0.04,0,-1.88,-0.07
504,-0.62,0.56,1.03,0.16,0.11,0.14,-0.06,-0.4,-0.44,-0.01,-1.3,-1.53,-0.01,0.65,-0.38,-0.04
505,1.07,-0.62,0.31,-0.09,0.56,1.03,0.16,0.11,0.14,-0.06,-0.4,-0.44,-0.01,-1.3,-1.53,-0.01
506,0.29,1.07,3.05,0.31,-0.62,0.31,-0.09,0.56,1.03,0.16,0.11,0.14,-0.06,-0.4,-0.44,-0.01
507,-0.35,0.29,-3.05,-0.02,1.07,3.05,0.31,-0.62,0.31,-0.09,0.56,1.03,0.16,0.11,0.14,-0.06
508,-1.04,-0.35,2.71,0.16,0.29,-3.05,-0.02,1.07,3.05,0.31,-0.62,0.31,-0.09,0.56,1.03,0.16
509,-0.05,-1.04,-3.2,0.07,-0.35,2.71,0.16,0.29,-3.05,-0.02,1.07,3.05,0.31,-0.62,0.31,-0.09
510,-1.89,-0.05,-0.88,-0.01,-1.04,-3.2,0.07,-0.35,2.71,0.16,0.29,-3.05,-0.02,1.07,3.05,0.31
511,-0.58,-1.89,-3.61,-0.39,-0.05,-0.88,-0.01,-1.04,-3.2,0.07,-0.35,2.71,0.16,0.29,-3.05,-0.02
512,-0.44,-0.58,0.2,-0.17,-1.89,-3.61,-0.39,-0.05,-0.88,-0.01,-1.04,-3.2,0.07,-0.35,2.71,0.16
513,-1.19,-0.44,-1.86,-0.05,-0.58,0.2,-0.17,-1.89,-3.61,-0.39,-0.05,-0.88,-0.01,-1.04,-3.2,0.07
514,0.14,-1.19,-1.63,-0.03,-0.44,-1.86,-0.05,-0.58,0.2,-0.17,-1.89,-3.61,-0.39,-0.05,-0.88,-0.01
515,-0.11,0.14,0.05,-0.15,-1.19,-1.63,-0.03,-0.44,-1.86,-0.05,-0.58,0.2,-0.17,-1.89,-3.61,-0.39
516,-0.48,-0.11,-0.54,-0.23,0.14,0.05,-0.15,-1.19,-1.63,-0.03,-0.44,-1.86,-0.05,-0.58,0.2,-0.17
517,0.27,-0.48,-1.53,-0.09,-0.11,-0.54,-0.23,0.14,0.05,-0.15,-1.19,-1.63,-0.03,-0.44,-1.86,-0.05
518,0.18,0.27,-0.53,0.06,-0.48,-1.53,-0.09,-0.11,-0.54,-0.23,0.14,0.05,-0.15,-1.19,-1.63,-0.03
519,0.35,0.18,0.42,-0.06,0.27,-0.53,0.06,-0.48,-1.53,-0.09,-0.11,-0.54,-0.23,0.14,0.05,-0.15
520,0.13,0.35,-0.28,-0.16,0.18,0.42,-0.06,0.27,-0.53,0.06,-0.48,-1.53,-0.09,-0.11,-0.54,-0.23
521,-0.12,0.13,1,-0.31,0.35,-0.28,-0.16,0.18,0.42,-0.06,0.27,-0.53,0.06,-0.48,-1.53,-0.09
522,0.09,-0.12,-0.31,-0.01,0.13,1,-0.31,0.35,-0.28,-0.16,0.18,0.42,-0.06,0.27,-0.53,0.06
523,-0.11,0.09,1.23,-0.07,-0.12,-0.31,-0.01,0.13,1,-0.31,0.35,-0.28,-0.16,0.18,0.42,-0.06
524,0.31,-0.11,-0.28,0.1,0.09,1.23,-0.07,-0.12,-0.31,-0.01,0.13,1,-0.31,0.35,-0.28,-0.16
525,-1.13,0.31,-0.15,0.12,-0.11,-0.28,0.1,0.09,1.23,-0.07,-0.12,-0.31,-0.01,0.13,1,-0.31
526,0.33,-1.13,-0.68,0.06,0.31,-0.15,0.12,-0.11,-0.28,0.1,0.09,1.23,-0.07,-0.12,-0.31,-0.01
527,0.78,0.33,-0.16,-0.02,-1.13,-0.68,0.06,0.31,-0.15,0.12,-0.11,-0.28,0.1,0.09,1.23,-0.07
528,0.01,0.78,-0.53,0.01,0.33,-0.16,-0.02,-1.13,-0.68,0.06,0.31,-0.15,0.12,-0.11,-0.28,0.1
529,-0.21,0.01,-0.22,-0.1,0.78,-0.53,0.01,0.33,-0.16,-0.02,-1.13,-0.68,0.06,0.31,-0.15,0.12
530,-0.01,-0.21,0.36,0.14,0.01,-0.22,-0.1,0.78,-0.53,0.01,0.33,-0.16,-0.02,-1.13,-0.68,0.06
531,-0.09,-0.01,0.27,-0.19,-0.21,0.36,0.14,0.01,-0.22,-0.1,0.78,-0.53,0.01,0.33,-0.16,-0.02
532,0.24,-0.09,0.71,-0.19,-0.01,0.27,-0.19,-0.21,0.36,0.14,0.01,-0.22,-0.1,0.78,-0.53,0.01
533,0.18,0.24,-0.05,-0.09,-0.09,0.71,-0.19,-0.01,0.27,-0.19,-0.21,0.36,0.14,0.01,-0.22,-0.1
534,0.01,0.18,1.49,-0.02,0.24,-0.05,-0.09,-0.09,0.71,-0.19,-0.01,0.27,-0.19,-0.21,0.36,0.14
535,0.75,0.01,0.93,0.37,0.18,1.49,-0.02,0.24,-0.05,-0.09,-0.09,0.71,-0.19,-0.01,0.27,-0.19
536,0.54,0.75,0.45,0.06,0.01,0.93,0.37,0.18,1.49,-0.02,0.24,-0.05,-0.09,-0.09,0.71,-0.19
537,0.31,0.54,0.98,0.11,0.75,0.45,0.06,0.01,0.93,0.37,0.18,1.49,-0.02,0.24,-0.05,-0.09
538,0.12,0.31,0.93,0.11,0.54,0.98,0.11,0.75,0.45,0.06,0.01,0.93,0.37,0.18,1.49,-0.02
539,0.26,0.12,-1.03,0.08,0.31,0.93,0.11,0.54,0.98,0.11,0.75,0.45,0.06,0.01,0.93,0.37
540,0.13,0.26,0.7,-0.23,0.12,-1.03,0.08,0.31,0.93,0.11,0.54,0.98,0.11,0.75,0.45,0.06
541,-0.15,0.13,-0.34,-0.22,0.26,0.7,-0.23,0.12,-1.03,0.08,0.31,0.93,0.11,0.54,0.98,0.11
542,0.23,-0.15,0.61,0.14,0.13,-0.34,-0.22,0.26,0.7,-0.23,0.12,-1.03,0.08,0.31,0.93,0.11
543,-0.12,0.23,1.19,-0.04,-0.15,0.61,0.14,0.13,-0.34,-0.22,0.26,0.7,-0.23,0.12,-1.03,0.08
544,-0.05,-0.12,-0.49,-0.24,0.23,1.19,-0.04,-0.15,0.61,0.14,0.13,-0.34,-0.22,0.26,0.7,-0.23
545,-1.38,-0.05,0.69,-0.36,-0.12,-0.49,-0.24,0.23,1.19,-0.04,-0.15,0.61,0.14,0.13,-0.34,-0.22
546,0.72,-1.38,-0.77,0.04,-0.05,0.69,-0.36,-0.12,-0.49,-0.24,0.23,1.19,-0.04,-0.15,0.61,0.14
547,-0.46,0.72,0.45,-0.04,-1.38,-0.77,0.04,-0.05,0.69,-0.36,-0.12,-0.49,-0.24,0.23,1.19,-0.04
548,-0.51,-0.46,0,-0.2,0.72,0.45,-0.04,-1.38,-0.77,0.04,-0.05,0.69,-0.36,-0.12,-0.49,-0.24
549,0.14,-0.51,-1.28,0.12,-0.46,0,-0.2,0.72,0.45,-0.04,-1.38,-0.77,0.04,-0.05,0.69,-0.36
550,0.5,0.14,0.53,-0.63,-0.51,-1.28,0.12,-0.46,0,-0.2,0.72,0.45,-0.04,-1.38,-0.77,0.04
551,0.07,0.5,-0.11,0.12,0.14,0.53,-0.63,-0.51,-1.28,0.12,-0.46,0,-0.2,0.72,0.45,-0.04
552,-0.4,0.07,-0.79,0,0.5,-0.11,0.12,0.14,0.53,-0.63,-0.51,-1.28,0.12,-0.46,0,-0.2
553,0.73,-0.4,-0.37,-0.04,0.07,-0.79,0,0.5,-0.11,0.12,0.14,0.53,-0.63,-0.51,-1.28,0.12
554,0.01,0.73,0.44,-0.12,-0.4,-0.37,-0.04,0.07,-0.79,0,0.5,-0.11,0.12,0.14,0.53,-0.63
555,-1.02,0.01,-0.46,0.29,0.73,0.44,-0.12,-0.4,-0.37,-0.04,0.07,-0.79,0,0.5,-0.11,0.12
556,-0.16,-1.02,-2.43,-0.01,0.01,-0.46,0.29,0.73,0.44,-0.12,-0.4,-0.37,-0.04,0.07,-0.79,0
557,-0.04,-0.16,0.17,0.1,-1.02,-2.43,-0.01,0.01,-0.46,0.29,0.73,0.44,-0.12,-0.4,-0.37,-0.04
558,-0.24,-0.04,0.05,0.1,-0.16,0.17,0.1,-1.02,-2.43,-0.01,0.01,-0.46,0.29,0.73,0.44,-0.12
559,0,-0.24,0.39,-0.02,-0.04,0.05,0.1,-0.16,0.17,0.1,-1.02,-2.43,-0.01,0.01,-0.46,0.29
560,0.02,0,0,0,-0.24,0.39,-0.02,-0.04,0.05,0.1,-0.16,0.17,0.1,-1.02,-2.43,-0.01
561,0.16,0.02,-0.51,0.05,0,0,0,-0.24,0.39,-0.02,-0.04,0.05,0.1,-0.16,0.17,0.1
562,0.53,0.16,0.3,0.04,0.02,-0.51,0.05,0,0,0,-0.24,0.39,-0.02,-0.04,0.05,0.1
563,-0.49,0.53,-0.66,0.33,0.16,0.3,0.04,0.02,-0.51,0.05,0,0,0,-0.24,0.39,-0.02
564,0.33,-0.49,0.07,-0.18,0.53,-0.66,0.33,0.16,0.3,0.04,0.02,-0.51,0.05,0,0,0
565,0.3,0.33,0.82,-0.07,-0.49,0.07,-0.18,0.53,-0.66,0.33,0.16,0.3,0.04,0.02,-0.51,0.05
566,-0.75,0.3,-0.12,-0.16,0.33,0.82,-0.07,-0.49,0.07,-0.18,0.53,-0.66,0.33,0.16,0.3,0.04
567,0.17,-0.75,-0.1,0.07,0.3,-0.12,-0.16,0.33,0.82,-0.07,-0.49,0.07,-0.18,0.53,-0.66,0.33
568,0.57,0.17,-1.02,0.22,-0.75,-0.1,0.07,0.3,-0.12,-0.16,0.33,0.82,-0.07,-0.49,0.07,-0.18
569,-1.32,0.57,1.03,0.11,0.17,-1.02,0.22,-0.75,-0.1,0.07,0.3,-0.12,-0.16,0.33,0.82,-0.07
570,0.86,-1.32,-0.89,-0.15,0.57,1.03,0.11,0.17,-1.02,0.22,-0.75,-0.1,0.07,0.3,-0.12,-0.16
